Month,Monthly Value,YoY Value,YoY Percent
01/01/2018 07:59:59,83.8%,-1.9%,-1.9%
02/01/2018 07:59:59,85.3%,-0.3%,-0.3%
03/01/2018 07:59:59,92.7%,-1.3%,-1.3%
04/01/2018 07:00:00,91%,0.3%,0.3%
05/01/2018 07:00:00,89.4%,0.3%,0.3%
06/01/2018 07:00:00,90.6%,-2%,-2%
07/01/2018 07:00:00,90.8%,-3.7%,-3.7%
08/01/2018 07:00:00,87.7%,-0.9%,-0.9%
09/01/2018 07:00:00,87.4%,-3.7%,-3.7%
10/01/2018 07:00:00,91.4%,1.4%,1.4%
11/01/2018 07:00:00,88.1%,3.6%,3.6%
12/01/2018 07:59:59,79.9%,2.5%,2.5%
01/01/2019 07:59:59,84%,0.2%,0.2%
02/01/2019 07:59:59,87%,1.7%,1.7%
03/01/2019 07:59:59,91.5%,-1.2%,-1.2%
04/01/2019 07:00:00,91%,0%,0%
05/01/2019 07:00:00,90.8%,1.4%,1.4%
06/01/2019 07:00:00,91.7%,1.1%,1.1%
07/01/2019 07:00:00,91.1%,0.3%,0.3%
08/01/2019 07:00:00,87.7%,0%,0%
09/01/2019 07:00:00,88.3%,0.9%,0.9%
10/01/2019 07:00:00,90%,-1.4%,-1.4%
11/01/2019 07:00:00,88.2%,0.1%,0.1%
12/01/2019 07:59:59,85.1%,5.2%,5.2%
01/01/2020 07:59:59,85.9%,1.9%,1.9%
02/01/2020 07:59:59,86.8%,-0.2%,-0.2%
03/01/2020 07:59:59,39.8%,-51.7%,-51.7%
04/01/2020 07:00:00,1.7%,-89.3%,-89.3%
05/01/2020 07:00:00,2.8%,-88%,-88%
06/01/2020 07:00:00,40.9%,-50.8%,-50.8%
07/01/2020 07:00:00,42.5%,-48.6%,-48.6%
08/01/2020 07:00:00,42.7%,-45%,-45%
09/01/2020 07:00:00,46.8%,-41.5%,-41.5%
10/01/2020 07:00:00,46.9%,-43.1%,-43.1%
11/01/2020 07:00:00,39.3%,-48.9%,-48.9%
12/01/2020 07:59:59,30.9%,-54.2%,-54.2%
01/01/2021 07:59:59,31.6%,-54.3%,-54.3%
